sentence,category,probability
"The role of credit scores in lending decisions is significant.
",Finance,0.7097322940826416
"The impact of overpopulation on the environment is a topic of ongoing research.
",Environment,0.7746328711509705
"The importance of the scientific method in conducting research cannot be overemphasized.
",Science,0.9242753982543945
"The nanotechnology research has potential applications in electronics and materials science.
",Technology,0.7919713854789734
"The benefits of using digital fashion in fashion are many, including reduced waste and improved creativity.
",Fashion,0.8651596307754517
"The theater company collaborates with local schools to bring the arts to underserved communities.
",Entertainment,0.7708295583724976
"The importance of portion control in maintaining a healthy weight cannot be overemphasized.
",Health,0.7652972340583801
"The indie film's ensemble cast delivers memorable performances that resonate with audiences.
",Environment,0.8389818072319031
"The latest iPhone model features advanced facial recognition technology.
",Technology,0.957176685333252
"The importance of meal planning cannot be overemphasized.
",Food,0.8375881314277649
"The space telescope captures images of distant galaxies to study their formation and evolution.
",Science,0.9318858981132507
"The political climate is becoming increasingly tense.
",Politics,0.9561499357223511
"The impact of overfishing on the environment is a topic of ongoing research.
",Environment,0.8472773432731628
"The best way to find the best local parks is to do your research ahead of time.
",Environment,0.7481181621551514
"The World Health Organization is urging countries to invest in health promotion programs.
",Health,0.9296401143074036
"The Supreme Court has ruled in favor of the plaintiff in the high-profile case.
",Environment,0.7191393971443176
"The indie film gained a cult following for its unconventional storytelling.
",Environment,0.7584205865859985
"The impact of urban heat islands on the environment is a topic of ongoing research.
",Environment,0.8055103421211243
"The two parties are struggling to find common ground.
",Politics,0.8840234875679016
"The importance of peer review in ensuring the quality and validity of scientific research cannot be overstated.
",Science,0.8926507830619812
"The skateboarder landed a difficult trick in the skate park.
",Sports,0.9276171922683716
"The importance of size inclusivity in fashion cannot be overstated.
",Fashion,0.9175150990486145
"The impact of mining on the environment is a topic of ongoing concern.
",Environment,0.8349113464355469
"The opposition party is calling for a referendum on the issue.
",Politics,0.9056211709976196
"The impact of the gig economy on cultural travel is a topic of ongoing debate.
",Travel,0.8732100129127502
"The impact of the gig economy on sustainable travel is a topic of ongoing debate.
",Travel,0.9662660956382751
"The athlete trained tirelessly to achieve peak performance.
",Sports,0.9720465540885925
"The benefits of traveling with a group are many, including safety and cost savings.
",Travel,0.8353828191757202
"The importance of scientific collaboration in addressing global challenges cannot be overemphasized.
",Science,0.8533989191055298
"The importance of food affordability cannot be overemphasized.
",Food,0.9681777358055115
"The importance of extracurricular activities in education cannot be overemphasized.
",Education,0.8413313627243042
"The impact of the digital economy on cultural travel is a topic of ongoing debate.
",Travel,0.8687965869903564
"The benefits of 3D printing are many, including improved customization and reduced waste.
",Technology,0.9411225914955139
"The American Heart Association recommends a diet low in sodium to reduce the risk of high blood pressure.
",Health,0.7365002036094666
"The sports psychology professor conducts research on peak performance.
",Sports,0.929560661315918
"The basketball player dribbled past defenders to score a layup.
",Sports,0.9859225749969482
"The benefits of a competency-based education are many, including improved mastery and skill development skills.
",Education,0.829648494720459
"The benefits of a good night's sleep cannot be overstated.
",Health,0.7334169149398804
"The benefits of a self-directed learning education are many, including improved self-discipline and responsibility skills.
",Education,0.8255811333656311
"The benefits of traveling by RV are many, including flexibility and cost savings.
",Travel,0.8307575583457947
"The impact of fashion on cultural diversity is a topic of ongoing research.
",Fashion,0.8214105367660522
"The best way to find the best local food tours is to do your research ahead of time.
",Food,0.929564356803894
"The athlete overcame adversity to achieve greatness.
",Sports,0.9439390897750854
"The impact of climate change on human health is a topic of ongoing scientific research.
",Science,0.8941916823387146
"The gymnastics coach guided the team to victory in the regional competition.
",Sports,0.9603618383407593
"The importance of entrepreneurship education in education cannot be overemphasized.
",Education,0.91478031873703
"The benefits of a healthy lifestyle for reducing the risk of stroke are well established.
",Health,0.787421464920044
"The importance of food justice cannot be overstated.
",Food,0.969186007976532
"The cricket bowler delivered a fast-paced ball that caught the batsman off guard.
",Sports,0.9349967837333679
"The sports scientist studies the physiological effects of exercise on the body.
",Sports,0.9597111344337463
"The importance of vegan fashion in promoting animal welfare cannot be overemphasized.
",Fashion,0.7228401303291321
"The equestrian rider cleared the obstacles with precision and grace.
",Sports,0.8902021050453186
"The importance of environmental education in education cannot be overstated.
",Environment,0.9331392049789429
"The link between stress and immune function is well established.
",Health,0.8363040685653687
"The impact of air pollution on human health is a topic of ongoing scientific research.
",Science,0.9061552882194519
"The importance of science advocacy in promoting evidence-based policy and funding cannot be overstated.
",Science,0.9272285103797913
"The biotech startup is developing groundbreaking therapies for cancer treatment.
",Technology,0.8533070087432861
"The autonomous robot navigates warehouses to retrieve and transport items.
",Technology,0.858056366443634
"The benefits of regular exercise for bone health are well documented.
",Health,0.7950701117515564
"The impact of fashion on cultural identity is a topic of ongoing research.
",Fashion,0.8405901193618774
"The importance of scientific reproducibility in ensuring the reliability of research cannot be overemphasized.
",Science,0.8915054202079773
"The 3D printing technology revolutionizes manufacturing with its ability to create complex objects.
",Technology,0.9456510543823242
"The impact of food trends on nutrition is a topic of concern.
",Food,0.8732277154922485
"The sports science research center collaborates with universities on cutting-edge studies.
",Sports,0.9355161190032959
"The impact of biodiversity loss on ecosystems is a topic of ongoing scientific research.
",Science,0.8867523074150085
"The sports memorabilia collector owns rare items signed by legendary athletes.
",Sports,0.9201427102088928
"The link between air pollution and respiratory diseases is well established.
",Environment,0.7347486615180969
"The drone pilot operates the aircraft to capture aerial footage for film and television.
",Technology,0.9325374364852905
"The impact of educational attainment on democracy is a topic of ongoing research.
",Education,0.8006802201271057
"The best way to find the best local adventure sports is to do your research ahead of time.
",Sports,0.8774310946464539
"The importance of cultural competence education in education cannot be overemphasized.
",Education,0.8054087162017822
"The importance of food traceability cannot be overemphasized.
",Food,0.9117778539657593
"The benefits of using sustainable manufacturing practices in fashion are many, including reduced waste and improved sustainability.
",Fashion,0.9620317220687866
"The impact of air pollution on the environment is a topic of ongoing concern.
",Environment,0.8351786732673645
"The benefits of using sustainable textiles in fashion are many, including reduced environmental impact and improved sustainability.
",Fashion,0.8866904377937317
"The prime minister has called for an emergency meeting with his cabinet.
",Politics,0.8949691653251648
"The track and field athlete set a new world record in the long jump.
",Sports,0.9955515265464783
"The importance of reducing deforestation in promoting sustainability cannot be overstated.
",Environment,0.8350484371185303
"The benefits of eating a low-salt diet are many, including reduced blood pressure and improved heart health.
",Health,0.8305886387825012
"The political climate is becoming increasingly hostile.
",Politics,0.9452873468399048
"The sports psychologist helps athletes overcome mental barriers.
",Sports,0.8808944821357727
"The international community is putting pressure on the government to take action.
",Environment,0.7437300086021423
"The benefits of a student-centered learning education are many, including improved engagement and motivation skills.
",Education,0.8286435008049011
"The importance of protecting wildlife corridors in maintaining biodiversity cannot be overemphasized.
",Environment,0.7149848341941833
"Smoking is the leading cause of preventable death worldwide.
",Health,0.7606953382492065
"The link between poor nutrition and bone health issues such as osteoporosis is well established.
",Health,0.7106286287307739
"The singer's acoustic album showcases their vocal talent and songwriting skills.
",Environment,0.7954878211021423
"The importance of staying hydrated cannot be overemphasized.
",Health,0.8730140924453735
"The benefits of traveling by rickshaw are many, including affordability and cultural experience.
",Travel,0.8450538516044617
"The company announced a breakthrough in quantum computing research.
",Technology,0.7980022430419922
"The football fanatics tailgated outside the stadium before the game.
",Sports,0.9657303690910339
"The impact of fashion on cultural exchange is a topic of ongoing concern.
",Fashion,0.9046092629432678
"The impact of pesticide drift on the environment is a topic of ongoing concern.
",Environment,0.8402231931686401
"The TV series finale brought closure to fans after years of anticipation.
",Entertainment,0.7934898734092712
"The importance of sustainable fashion standards in promoting sustainability cannot be overemphasized.
",Fashion,0.9593560695648193
"The surfer rode a massive wave at the world-famous surf spot.
",Sports,0.977898895740509
"The referee made a controversial call that sparked debate among fans.
",Sports,0.8487186431884766
"The drone delivery service promises fast and efficient shipping of packages.
",Technology,0.9691703915596008
"The benefits of using virtual fitting rooms in fashion are many, including reduced waste and improved convenience.
",Fashion,0.9579111933708191
"The importance of scientific integrity in promoting public trust and accountability cannot be overemphasized.
",Science,0.9308518767356873
"The benefits of using sustainable supply chains in fashion are many, including reduced environmental impact and improved sustainability.
",Fashion,0.9600414037704468
"The nanotechnology research has potential applications in medicine and electronics.
",Technology,0.7786108255386353
"The benefits of a problem-based learning education are many, including improved critical thinking and problem-solving skills.
",Education,0.7518290281295776
"The benefits of traveling by motorcycle are many, including adventure and freedom.
",Travel,0.8872771859169006
"The importance of media education in education cannot be overemphasized.
",Education,0.8179816603660583
"The impact of eutrophication on the environment is a topic of ongoing concern.
",Environment,0.8361122012138367
"The importance of scientific curiosity in driving innovation and discovery cannot be overemphasized.
",Science,0.9075889587402344
"The importance of scientific collaboration in promoting the advancement of knowledge cannot be overemphasized.
",Science,0.9068202972412109
"The impact of pesticides on the environment is a topic of ongoing concern.
",Environment,0.8476419448852539
"The importance of fair trade in fashion cannot be overemphasized.
",Fashion,0.9551235437393188
"The baseball slugger hit a home run that sailed over the outfield fence.
",Sports,0.9792914986610413
"The impact of food additives on liver function is a topic of ongoing debate.
",Health,0.7542235851287842
"The benefits of eating a vegetarian diet are many, including reduced environmental impact and improved health.
",Health,0.9410377144813538
"The baseball pitcher threw a perfect game, striking out every batter.
",Sports,0.9924436211585999
"The importance of body positivity in fashion cannot be overstated.
",Fashion,0.9218350052833557
"The impact of soil degradation on the environment is a topic of ongoing concern.
",Environment,0.84943026304245
"The Supreme Court has agreed to hear arguments in the landmark case.
",Environment,0.7721896767616272
"The benefits of eating a ketogenic diet are many, including weight loss and improved blood sugar control.
",Health,0.7839910984039307
"The impact of fashion on cultural diversity is a topic of ongoing concern.
",Fashion,0.8784682750701904
